year,total_expulsions,median_expulsions,winner,winner_expulsions
2021,18,1.5,Dune,2.0
2020,41,4.0,Nomadland,4.0
2019,58,3.0,Parasite,9.0
2018,21,2.5,Green Book,1.0
2017,16,1.0,The Shape of Water,3.0
2016,5,0.0,Moonlight,0.0
2015,25,2.0,Spotlight,0.0
2014,5,0.5,Birdman,1.0
2013,44,3.0,12 Years a Slave,3.0
2012,28,2.0,Argo,0.0
2011,7,0.0,The Artist,0.0
2010,27,1.5,The King's Speech,2.0
2009,5,0.0,The Hurt Locker,3.0
